Insira o seu Prolific ID;hap_a;hap_p;dis_a;dis_p;sle_a;sle_p;sad_a;sad_p;sur_a;sur_p;exc_a;exc_p;bor_a;bor_p;fea_a;fea_p;cal_a;cal_p;ang_a;ang_p;age;Sex;age_c
60e47e8c9961ebcd73a242ca;0;-1;0;1;1;-2;-1;-1;-1;1;1;1;2;2;0;0;-2;-2;1;-1;27;1;1
60e5ccdf4263ab147e71b284;3;3;1;-1;-3;2;-3;-3;3;0;3;3;-2;-1;1;-2;-1;0;3;-3;37;1;1
60e6d6e46a3736c3190006e4;1;1;0;-2;-3;-2;-1;-3;2;2;3;1;-2;-2;-1;-1;0;0;3;-2;18;1;0
60e77da3db716baf606753f8;-1;1;-2;1;-3;0;-1;0;3;3;3;3;-3;0;1;-1;0;1;2;1;19;1;0
60e85de1dd820c261e82998d;3;3;-1;-2;-3;0;-1;-3;2;2;3;2;-2;0;0;0;0;1;0;-3;23;1;1
60e99aa8cc69fc249abf3b31;2;2;2;-3;-2;1;-3;-3;3;1;3;3;-3;0;3;-1;-1;1;2;-2;29;1;1
60eb85a941bf83ce9e6d54fc;0;3;1;-3;-3;1;1;-3;3;3;3;3;-3;-2;3;-3;-1;0;2;-1;26;1;1
571922e42090bb001115b5ef;3;3;0;-3;-3;-2;0;-3;3;1;3;3;-1;-1;-2;-3;0;0;3;-3;27;0;1
5ac48ded5cd1050001622c4a;2;3;-2;-3;-3;-1;-1;-3;2;2;3;3;-3;-2;1;-3;-1;0;1;-3;24;0;1
5b19975aabf7350001abbeca;1;3;-1;-3;-3;-1;-2;-3;3;2;3;2;-2;-1;0;-2;-1;0;2;-2;21;0;0
5c1ebfac38f2f000019c68f9;3;3;-1;-3;-3;0;-1;-3;3;3;3;2;-2;-1;1;-3;0;2;1;-3;25;0;1
5c744b38002a43001604a174;3;3;0;-1;-3;0;-1;-3;2;0;3;2;-2;-1;0;-1;0;0;1;-2;26;0;1
5c7c3909042bf900012ab4d1;3;3;-1;-2;-3;-1;-1;-3;2;3;3;2;-2;-1;0;0;0;1;2;0;30;0;1
5ca7f8934311a70001cfc21e;3;3;-3;-3;-3;-3;-1;-2;3;3;3;3;-2;-2;1;-1;-2;-2;1;-2;44;0;1
5cb6ca63fb7ede000123fd40;3;3;1;-2;-3;0;-3;-3;2;0;3;3;-3;0;2;-3;-1;3;1;-2;25;0;1
5ccaf456a3decc00181d5b05;3;3;2;-2;-3;0;-1;-3;3;1;3;1;-3;-1;2;-3;-1;1;3;-3;23;0;1
5d9fa34e497e63001546c9ea;1;0;-2;-3;-3;0;-2;-3;1;1;3;2;-2;0;-1;-2;-2;2;-1;-2;26;0;1
5e316c0686399a000c8f29c9;3;3;0;-2;-3;0;-3;-3;3;0;3;2;0;0;0;-3;0;2;0;-3;23;0;1
5e34d1e00770894aef084447;3;-3;-2;-3;-3;-1;-1;-3;2;1;3;2;-2;-2;-1;-3;0;2;-2;-3;29;0;1
5e85eda5501bc3035b24d9eb;2;3;-1;-2;-3;0;-2;-3;1;0;3;2;-3;-2;2;0;-2;0;1;-2;31;0;1
5ea6bed3221dd504658c85c7;3;3;2;-1;-3;0;0;-1;3;2;3;2;-2;0;2;-1;-1;2;2;-2;21;0;0
5ea99e10f4eb420baf0a9cf0;3;3;-3;-2;-3;-1;-3;-3;3;0;3;1;-3;-1;3;-3;-1;2;2;-2;21;0;0
5ed7723785c7561ff23ab30a;2;3;-1;-1;-3;-2;-3;-3;3;3;3;3;-3;-3;-1;-1;0;0;0;-1;24;0;1
5ef66717308099348c0b0d77;-1;0;-1;-1;0;-2;-3;-3;3;2;2;2;-2;-2;0;-2;0;2;-2;-3;24;0;1
5f0b94211e2bb20f308e3aa6;3;0;2;-1;2;-2;2;-1;3;0;2;1;-1;0;0;0;-1;-1;-1;0;22;0;0
5f244f9a175deb01f9398c14;3;3;2;-2;-3;0;0;-3;3;0;3;1;-2;-1;2;-2;-1;0;3;-1;21;0;0
5f4a63e5ba002f5dba15884b;3;3;-3;-3;-3;-3;-3;-3;3;3;3;3;-3;-3;-3;-3;0;0;-3;-3;21;0;0
5f64bfc3a289d20219936e21;2;3;0;-2;-3;0;-2;-3;3;1;3;2;-3;-1;3;-3;-2;2;1;-2;23;0;1
5f6dd7a429ca17270daf4a93;2;3;-1;0;-3;-1;-2;-3;0;0;3;2;0;-1;0;-2;0;0;1;-1;24;0;1
5f6e87a1d9c7a43e9e1b967a;2;3;-2;-3;-3;-2;-3;-3;3;3;3;3;-3;-2;-3;-3;-1;-2;1;-3;19;0;0
5f78b932f640204851bb4ff4;1;3;1;-2;-3;0;-1;-3;2;2;3;2;-3;-1;1;-2;-2;1;3;-2;22;0;0
5f92e67c3cc3b10407327c19;2;3;3;-2;-3;-1;-2;-3;1;2;3;3;-3;0;3;-3;-2;2;3;-1;24;0;1
5fb5855cb74f4b0c65f0bef3;3;3;3;3;-3;-3;-3;-3;3;0;3;0;-3;-3;0;-3;-3;0;0;-1;23;0;1
5fbea94117bb180684661d1e;2;3;0;-1;-3;0;-1;-3;2;0;3;2;-2;0;1;-2;0;0;0;-2;26;0;1
6005c01be34dba4d8e9f3b39;3;3;-1;-1;-3;-1;-2;-3;3;2;3;2;-3;0;0;-2;0;2;2;-3;19;0;0
603e4fff74df2edecbeb21a3;3;0;-1;0;-3;-3;-3;-3;2;1;2;2;-2;-2;-2;-2;0;1;2;-2;34;0;1
6040093e0a7ed41aeb718833;0;1;0;1;-1;-1;-1;-2;3;2;3;2;0;0;1;-1;0;0;2;-1;19;0;0
604b68f1a9c9f59d5bb46de6;3;3;0;-1;-3;0;-3;-3;2;0;3;2;-1;0;-1;-1;0;0;-1;-1;21;0;0
6050e0236d725096c9ae2131;3;3;0;-1;-3;-1;-2;-3;1;1;3;3;-2;-1;-2;-2;0;2;0;-2;20;0;0
605de9a7de0f617e4c778097;2;3;-1;-3;-3;-1;-3;-3;0;0;3;1;-3;0;-2;-3;0;2;-2;-3;22;0;0
607333f06524baf7ddfaae2e;-1;0;-3;-3;-1;-1;-3;-3;1;3;3;3;-1;0;3;-3;0;2;3;-3;27;0;1
60798671f9852388a1b29e86;3;3;-3;-3;-3;0;-2;-3;1;0;3;2;-1;-1;1;-1;0;0;2;-1;20;0;0
607f12a96175e68575607229;3;3;0;-2;-3;-3;-3;-3;3;3;-2;-2;-3;0;2;-3;-3;1;1;-3;24;0;1
6099df8e57bf74dbc121c774;3;3;0;-2;-3;-1;-2;-3;3;0;3;2;-3;-2;3;-3;-2;0;3;-2;24;0;1
60a2dcbec46f3208f0e75edd;2;3;0;-1;-3;0;-1;-3;3;3;3;3;-3;-1;1;-2;0;0;2;-2;20;0;0
60a576dddf36d12dda554bda;2;1;0;0;-1;1;2;1;1;1;1;1;-1;-1;-1;-1;1;1;-1;-1;22;0;0
60af95ae79f45c4a29ac245e;3;3;-3;-3;-3;0;0;-3;3;3;3;3;-3;0;3;-3;-1;0;3;-3;19;0;0
60c7906d775c22015ad5f46a;3;3;0;-2;-3;0;-1;-3;3;3;3;3;-3;-1;-1;-3;0;0;0;-3;21;0;0
60db6280e9085ee02fc6e69d;1;-1;-1;-1;-3;0;-3;-2;3;3;3;3;-2;-2;1;-2;-1;1;2;-2;20;0;0
60dccd892fc4adcb868c79c4;3;3;1;-1;-3;0;-3;-3;3;3;3;3;-3;-3;-3;-3;-1;0;3;0;29;0;1
60e0fda4d49dc6cfd6a25878;3;3;-1;-1;-3;-2;-2;-3;3;1;3;1;-3;-2;1;-2;0;0;1;-1;26;0;1
60e1e6ee3ae500a4fdb7d55e;3;3;-2;-2;-3;1;1;-2;3;0;3;3;-3;-3;3;-1;-3;0;3;-3;22;0;0
60e33a5faac9c2c94606c735;3;3;-1;-1;-3;-2;-2;-3;1;1;3;3;-3;-2;2;-2;-1;0;2;-2;21;0;0
60e7502a0689b5e3ed5d8d8c;0;-2;0;0;0;-1;-1;-3;0;0;0;2;0;-2;0;-2;-1;1;0;0;21;0;0
60e8661f7426bbcdc9bc2a80;2;3;0;-1;-3;0;-1;-3;2;2;3;2;-2;-1;2;-1;0;0;2;-2;18;0;0
60e9ec87eaec81c024447f04;2;3;-1;-2;-3;0;-2;-3;3;2;3;3;-3;-1;0;-2;0;1;0;-1;20;0;0
60eae73fbaea877dbc988189;2;3;0;1;-3;1;-2;-3;3;1;3;2;-1;-1;-1;-2;0;1;-1;-2;18;0;0
