Id;age;sex;tiempo;fea_p;fea_a;sur_p;sur_a;dis_p;dis_a;ang_p;ang_a;bor_p;bor_a;sle_p;sle_a;sad_p;sad_a;exc_p;exc_a;cal_p;cal_a;hap_p;hap_a;age_c
65;32;1;0;-1;2;3;2;-1;1;-1;2;0;-1;-1;-2;-2;0;0;2;0;-1;2;1;1
66;54;1;0;-3;3;0;1;-1;-2;-2;2;-1;-3;0;-3;-3;0;2;2;2;1;3;2;1
67;46;1;0;-3;2;0;-1;-2;0;-2;2;-1;-3;0;-3;-3;0;3;1;0;0;3;0;1
68;50;1;0;-2;3;0;2;-3;0;-2;2;-2;-3;0;-3;-2;-1;2;3;1;0;2;2;1
69;47;1;0;-3;3;1;2;-2;-1;-3;3;-1;-2;0;-3;-2;-2;1;0;1;-1;2;-1;1
70;20;1;0;-1;2;0;2;0;-2;0;2;0;-3;-1;-3;-3;-2;3;3;0;-2;2;2;0
71;20;0;0;-2;2;2;2;-1;0;-2;3;0;-2;0;-2;2;2;2;1;1;0;3;0;0
72;27;1;0;-2;1;1;2;-2;1;-1;1;0;-1;0;-3;-3;0;1;1;1;-1;1;0;0
73;57;0;6;-3;3;1;1;-3;3;-2;3;-1;-2;0;-3;-3;0;3;3;3;-3;3;0;1
74;21;1;4;-1;3;1;1;-1;0;-2;3;0;-2;0;-3;-3;0;1;2;0;-1;3;1;0
75;27;1;4;-3;2;0;1;-2;0;-1;1;-2;-2;-2;-3;-3;0;1;1;0;-1;3;2;0
76;23;1;4;-3;3;2;3;-2;0;0;3;0;-3;0;-3;-3;-1;3;3;0;0;3;0;0
77;22;1;5;-1;1;1;2;-2;-1;-2;2;-2;-3;-2;-3;-2;0;3;2;0;0;3;3;0
78;22;1;5;-3;3;3;3;-2;3;-2;3;1;1;0;-3;-3;-3;3;3;2;-3;3;3;0
79;21;1;5;-3;3;3;0;-3;3;-3;3;0;-2;2;-3;-2;-3;2;0;1;-1;3;0;0
80;20;1;5;-2;3;-1;2;-2;-2;0;-3;-2;-3;0;-3;-3;-1;2;2;0;0;3;1;0
81;21;1;5;-2;3;3;2;-2;-1;-1;1;-2;-2;1;-3;-3;-2;3;2;1;-1;-3;0;0
82;21;1;6;-2;2;2;0;-2;-2;-2;2;-2;-2;-1;-3;-3;-1;3;2;1;-1;3;2;0
83;22;1;6;3;-2;0;2;-2;-1;-1;2;-2;-2;-1;-3;-3;0;2;2;1;-1;2;1;0
